4;4
17;17
17;17
2;2
11;10
5;5
1;1
1;1
1;1
3;3
1;1
0;0
4;4
8;8
2;2
1;1
5;5
1;0
1;1
6;6
1;1
2;2
1;1
3;3
0;0
1;1
0;0
2;2
1;1
0;0
3;3
0;0
4;3
1;1
2;2
1;1
1;1
1;1
5;5
1;1
1;1
1;1
5;5
4;4
3;3
1;1
0;0
1;1
1;1
1;1
0;0
2;1
7;6
1;1
2;1
1;1
6;6
1;1
2;2
7;7
13;13
1;1
3;2
1;1
1;1
5;5
4;4
2;1
4;4
1;1
14;14
1;1
0;0
1;1
1;1
1;1
1;1
5;5
4;4
4;4
3;3
3;3
9;9
22;22
10;10
1;1
8;8
7;2
8;8
0;0
2;2
2;2
1;1
1;1
1;1
3;3
1;1
6;6
13;13
1;1
0;0
3;3
5;5
1;1
3;3
2;2
4;4
3;3
13;12
1;0
1;1
8;8
1;1
2;2
6;6
26;26
8;8
1;1
1;1
0;0
1;1
1;1
1;1
14;14
1;1
1;1
11;11
1;1
1;1
4;4
23;23
1;1
4;4
1;1
4;4
0;0
1;1
5;5
1;1
6;6
4;4
1;1
1;1
3;2
6;6
5;4
5;5
6;6
1;1
0;0
5;5
1;1
3;3
1;1
1;1
2;2
7;7
2;1
4;4
3;3
0;0
1;0
2;2
2;2
1;1
0;0
1;1
2;2
1;1
3;3
2;2
2;2
9;9
1;1
3;2
2;1
0;0
5;5
10;10
1;1
8;8
1;1
0;0
0;0
2;2
1;0
1;1
0;0
1;1
0;0
1;1
1;1
2;2
5;4
4;4
17;17
21;21
2;2
1;1
1;1
13;13
1;1
2;2
2;2
1;1
4;4
1;1
11;11
7;7
1;1
1;1
10;9
4;4
6;6
6;6
1;1
2;2
1;1
4;3
0;0
2;2
3;2
0;0
4;4
13;13
2;2
0;0
4;4
0;0
2;2
7;7
1;1
0;0
0;0
1;1
0;0
4;3
2;2
1;1
4;4
2;2
1;1
1;1
1;1
1;1
1;1
1;0
5;5
1;1
1;0
9;8
1;1
6;5
2;2
3;3
1;1
1;1
2;2
1;1
1;1
15;15
1;1
1;1
3;3
1;1
2;2
1;1
1;1
1;1
0;0
1;1
1;1
3;3
4;4
0;0
5;5
1;1
1;1
2;2
1;1
6;6
1;1
1;1
8;7
9;9
1;1
5;5
1;1
1;1
2;2
3;3
1;1
0;0
0;0
1;1
1;1
5;4
1;0
1;1
4;4
6;6
8;8
0;0
0;0
1;1
2;2
3;0
0;0
1;1
1;1
5;5
1;1
13;12
2;0
4;4
1;1
11;11
5;5
1;1
4;4
4;4
0;0
4;4
1;1
0;0
3;3
5;5
4;4
1;1
3;3
1;0
1;1
2;2
0;0
1;1
1;1
0;0
1;0
1;1
6;6
1;1
2;2
2;2
2;2
1;1
1;1
2;2
1;1
1;1
4;4
1;1
1;1
2;2
10;10
0;0
1;1
6;6
0;0
1;1
6;6
2;2
3;2
2;2
3;3
3;3
3;3
2;2
2;2
1;1
7;7
1;1
1;1
13;13
2;2
2;2
0;0
4;4
1;1
8;8
1;1
14;14
3;3
2;2
1;1
0;0
1;1
1;1
0;0
1;1
1;1
4;4
1;1
1;1
1;1
2;2
0;0
1;1
1;1
5;5
2;2
1;1
1;1
2;1
1;1
5;5
4;4
1;0
2;2
1;1
5;5
13;13
5;5
0;0
1;1
7;7
3;3
5;5
12;12
1;1
2;2
18;18
2;2
1;1
6;6
1;1
1;0
1;0
3;1
3;2
3;3
6;6
1;1
0;0
1;1
4;4
1;1
4;4
6;6
1;1
1;1
1;1
3;3
2;2
1;1
1;1
0;0
1;1
7;7
2;2
3;3
10;10
6;6
3;3
1;0
2;2
0;0
2;2
0;0
1;1
0;0
0;0
3;3
1;1
4;4
3;3
3;3
2;2
11;11
1;1
0;0
1;1
4;4
2;2
1;1
0;0
1;1
0;0
1;1
2;2
10;10
4;3
2;2
3;3
0;0
5;5
2;2
1;1
1;1
1;1
1;1
2;2
1;1
1;1
6;6
3;3
1;1
1;1
0;0
4;3
1;1
1;1
1;1
3;3
1;1
0;0
2;2
7;7
1;1
7;7
1;1
1;1
2;1
1;1
1;1
6;6
1;1
2;2
0;0
1;1
7;7
1;1
2;2
1;1
1;1
2;2
1;0
4;4
7;7
5;5
1;1
5;5
0;0
5;5
3;3
1;1
1;1
3;3
4;1
2;2
3;3
6;6
7;6
2;2
1;0
1;1
1;1
0;0
1;1
1;1
4;4
1;1
1;1
2;2
0;0
1;1
2;2
1;1
2;2
1;1
1;1
3;3
2;2
1;1
4;4
1;1
1;1
6;6
2;2
1;1
2;2
1;1
2;2
1;1
1;1
1;1
2;1
0;0
1;0
5;5
4;4
0;0
0;0
1;1
0;0
2;2
1;1
4;4
3;3
10;9
6;6
1;1
2;2
1;1
2;2
2;2
4;4
2;2
10;10
2;2
7;6
7;7
2;2
4;4
1;1
2;2
1;1
8;8
2;2
15;15
18;18
1;1
1;1
1;1
1;1
6;6
1;1
1;1
8;8
1;1
8;8
2;1
3;3
1;1
1;1
4;4
4;4
6;6
7;7
0;0
1;1
12;12
2;1
2;2
2;2
1;0
1;1
2;2
0;0
2;1
7;7
2;2
1;1
1;1
1;1
2;2
1;0
1;1
1;1
2;2
5;5
1;1
2;2
1;1
9;9
2;2
1;1
1;1
0;0
1;1
4;4
14;13
1;1
6;6
1;1
1;1
1;1
1;1
1;1
4;4
5;5
1;1
2;1
1;1
7;7
1;1
0;0
1;1
3;3
0;0
7;7
8;8
1;1
1;1
0;0
2;1
1;1
3;3
3;3
9;8
0;0
4;4
1;1
1;1
8;8
5;5
1;1
1;1
10;9
5;4
1;1
1;1
4;4
1;1
0;0
2;2
1;1
5;5
4;4
1;1
7;6
1;1
1;1
3;2
3;3
3;2
6;6
5;5
1;1
4;3
1;1
16;16
2;2
4;4
16;16
1;1
1;1
0;0
14;14
0;0
5;4
5;5
2;2
6;6
6;6
1;1
0;0
2;2
4;4
4;4
4;4
2;2
2;2
1;1
2;2
1;1
2;2
2;2
1;1
0;0
2;2
1;1
2;0
3;3
1;1
3;3
1;1
2;2
1;1
3;2
1;0
5;5
2;2
1;1
1;1
1;1
1;1
0;0
1;1
1;1
4;4
3;3
1;1
1;1
2;2
2;2
0;0
1;1
8;8
1;0
1;1
1;1
2;2
7;7
1;1
1;1
1;1
0;0
1;1
7;7
1;1
2;1
4;4
3;3
1;1
4;4
7;6
1;1
1;1
1;1
2;2
0;0
0;0
1;0
5;5
2;2
1;1
4;3
11;11
1;1
0;0
10;9
3;3
14;14
0;0
1;0
0;0
1;1
4;4
4;4
11;11
7;7
12;12
2;2
0;0
9;9
2;2
3;3
1;1
1;1
2;2
5;5
13;13
9;9
9;9
1;1
3;3
2;2
0;0
1;1
2;2
1;1
9;8
1;1
1;1
7;7
0;0
8;8
2;2
3;3
1;1
0;0
1;1
1;1
0;0
0;0
4;4
1;1
2;2
0;0
1;1
5;5
1;1
1;1
17;17
1;1
5;5
7;7
0;0
1;1
1;1
2;2
5;5
4;4
1;1
1;1
7;7
1;0
5;5
1;1
8;8
2;2
1;1
1;1
1;1
9;8
4;4
1;1
1;1
1;1
1;1
1;1
1;1
2;2
3;3
1;1
3;3
0;0
1;0
1;1
3;3
0;0
1;1
1;1
5;5
1;1
5;5
2;2
2;2
1;1
1;1
5;5
1;1
0;0
1;1
0;0
1;1
0;0
6;6
1;1
0;0
0;0
0;0
1;1
2;2
1;1
6;6
1;0
1;1
1;1
3;3
1;1
0;0
0;0
2;2
2;1
4;4
9;9
0;0
1;0
1;1
3;3
1;1
1;1
1;1
0;0
1;1
2;2
0;0
0;0
1;0
0;0
1;1
2;2
1;1
1;1
1;1
0;0
4;3
0;0
1;1
0;0
1;1
5;5
4;4
3;3
1;1
1;1
0;0
1;0
4;4
9;9
5;5
5;5
1;1
5;5
0;0
0;0
0;0
8;8
1;1
1;1
10;10
1;1
4;4
5;5
0;0
1;1
3;3
2;2
3;3
8;8
16;16
1;1
1;1
1;1
1;1
2;1
2;2
6;6
0;0
1;1
1;1
1;1
1;1
1;1
1;1
1;1
0;0
1;0
1;1
4;4
1;1
9;9
7;6
22;22
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;0
1;1
1;1
5;5
6;6
1;1
1;1
1;1
3;3
6;6
1;1
7;7
1;1
0;0
1;1
1;1
2;1
1;1
5;5
0;0
1;1
1;0
0;0
8;8
1;1
1;1
2;1
5;5
2;2
15;15
2;2
6;6
11;11
0;0
1;1
8;8
1;1
2;2
3;3
6;6
1;1
0;0
5;5
4;4
4;4
9;9
1;1
2;2
1;1
1;1
6;6
1;1
6;6
4;4
2;2
10;10
1;1
0;0
2;2
1;1
3;3
7;7
2;2
5;5
1;1
2;2
4;3
1;1
5;5
3;3
3;3
1;1
2;2
1;1
0;0
1;1
1;1
3;2
1;1
5;5
9;9
1;1
1;1
5;5
1;1
1;1
1;1
1;1
1;1
1;1
0;0
6;6
5;4
1;1
1;1
1;1
2;2
3;3
2;2
1;0
2;2
1;1
9;9
2;2
4;4
3;3
0;0
2;2
2;2
1;0
2;1
5;5
2;2
1;1
2;2
1;1
2;2
0;0
1;1
2;2
2;2
1;1
1;1
3;3
0;0
0;0
4;4
3;3
1;1
1;1
13;13
2;2
1;1
1;1
1;1
0;0
11;10
2;2
2;2
2;2
6;6
2;1
4;4
3;3
6;6
7;7
1;1
1;1
1;1
1;1
2;2
2;2
1;1
0;0
0;0
8;8
2;2
1;1
1;1
1;1
1;1
4;4
0;0
2;2
5;5
4;4
1;1
2;2
4;4
5;5
7;7
5;5
1;1
5;5
2;2
4;4
2;2
1;1
5;5
8;8
16;16
3;3
1;1
3;3
1;0
0;0
1;1
1;1
1;1
1;1
0;0
4;4
1;1
0;0
0;0
1;1
1;1
1;1
6;6
0;0
3;3
2;2
1;1
1;1
1;1
1;1
2;1
3;3
10;10
3;3
10;10
4;3
1;1
2;2
4;4
1;1
10;10
3;3
4;4
6;6
5;5
2;2
4;4
11;11
3;3
0;0
4;3
6;6
0;0
0;0
0;0
1;1
3;3
0;0
5;4
2;2
1;1
3;3
2;2
9;8
0;0
0;0
1;1
4;4
1;1
5;5
5;5
12;12
14;14
1;1
0;0
1;1
1;1
12;12
1;0
7;7
2;2
8;8
1;1
1;1
5;5
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
6;6
7;6
1;1
1;1
1;1
5;5
1;1
30;30
17;17
26;26
2;2
3;3
0;0
2;1
4;4
1;1
0;0
1;1
2;1
1;0
2;2
1;1
2;1
2;2
0;0
1;1
0;0
5;5
0;0
4;4
1;1
3;3
4;4
2;2
1;1
4;3
0;0
4;4
2;1
1;1
8;8
1;1
2;1
1;1
1;1
0;0
1;1
4;4
2;2
8;8
1;1
10;10
1;1
1;1
2;2
1;1
1;1
5;5
1;1
1;1
1;1
3;3
1;0
1;1
1;0
1;0
9;9
2;2
4;4
5;5
1;1
7;7
1;1
1;1
1;1
3;3
7;7
1;1
4;4
1;1
2;2
2;1
4;4
1;1
2;2
5;2
1;1
6;6
4;3
1;1
1;1
1;1
1;1
5;5
1;1
0;0
4;4
1;1
0;0
1;1
1;1
1;1
4;3
2;2
1;1
2;2
1;1
2;2
2;2
3;3
2;2
8;8
2;1
1;0
4;4
2;2
1;1
1;1
1;1
7;6
1;1
1;1
1;1
1;1
5;5
4;4
3;2
5;5
6;6
10;10
3;3
0;0
1;1
2;2
1;1
1;0
5;5
0;0
2;2
1;1
1;1
3;2
1;1
1;1
2;2
1;1
1;1
1;1
1;0
2;2
2;2
8;7
1;1
2;2
1;1
1;1
0;0
7;7
1;0
2;2
2;2
9;9
1;1
1;0
1;1
1;1
2;2
0;0
2;2
1;1
5;5
3;3
2;1
1;1
7;6
7;7
12;12
7;7
1;1
2;2
1;1
11;11
1;1
2;2
1;1
3;3
6;6
5;5
0;0
0;0
1;1
10;10
1;1
1;1
1;1
10;10
0;0
1;1
1;1
5;5
3;3
1;1
6;6
5;5
0;0
1;1
5;5
1;1
3;3
2;1
8;8
20;20
1;1
1;0
6;5
0;0
4;4
1;1
1;1
1;1
1;1
3;3
2;2
5;5
2;1
1;1
3;3
1;1
0;0
0;0
1;1
5;5
2;2
1;1
1;1
5;5
4;4
2;2
6;6
4;2
9;9
3;3
3;3
4;4
4;1
3;3
7;7
0;0
1;1
1;1
4;3
1;1
1;1
1;1
1;1
1;1
1;1
1;1
5;5
2;2
1;1
3;3
1;1
1;0
1;1
1;1
1;1
2;2
1;1
2;0
1;1
1;1
5;5
1;1
1;1
2;2
1;1
1;1
4;4
5;5
2;2
10;10
10;10
15;15
20;20
6;6
1;1
14;14
10;9
1;1
4;4
2;1
3;3
5;5
1;1
3;2
0;0
10;10
1;1
2;2
1;1
5;5
1;1
5;5
1;1
1;1
1;1
8;8
2;2
1;1
12;12
4;4
1;1
6;6
17;17
2;2
6;6
9;9
1;1
2;2
2;1
4;4
3;2
1;1
7;7
4;4
5;5
7;7
2;2
0;0
1;1
3;3
11;11
13;13
1;1
8;8
0;0
1;1
1;1
7;7
1;1
0;0
0;0
1;0
8;8
5;5
1;1
5;5
5;5
12;12
2;2
6;6
8;8
5;5
6;6
11;11
1;1
2;2
4;4
3;3
1;1
12;11
9;9
1;1
1;1
17;17
1;1
0;0
1;0
3;3
1;1
4;4
5;5
1;1
2;2
13;13
2;2
1;1
1;1
2;2
1;1
1;1
10;10
2;2
2;2
5;5
3;2
1;1
2;2
3;3
4;4
13;13
14;14
18;18
1;1
1;1
4;4
1;1
1;0
0;0
0;0
1;1
1;1
9;9
7;6
1;1
1;1
0;0
4;4
0;0
1;0
1;1
0;0
3;3
4;4
11;11
2;2
1;1
0;0
1;1
1;1
0;0
1;1
2;2
6;6
0;0
1;1
1;1
1;1
1;1
3;3
3;3
4;4
1;1
1;1
3;3
2;2
1;1
7;7
5;5
1;0
6;6
10;10
8;8
4;4
0;0
1;1
0;0
0;0
1;1
9;9
1;0
1;1
2;2
1;1
1;1
2;2
5;5
2;2
1;1
2;2
3;3
7;7
11;11
2;1
5;5
1;1
0;0
0;0
0;0
1;1
2;2
4;4
1;1
14;14
2;2
0;0
1;1
3;3
1;1
1;1
6;6
1;1
6;6
4;4
2;2
4;4
0;0
1;1
0;0
2;2
1;1
0;0
1;1
2;2
1;1
4;3
1;1
0;0
2;2
1;1
5;5
4;3
6;5
5;5
2;2
6;6
4;4
0;0
10;10
1;1
1;0
4;4
2;2
0;0
13;12
1;1
10;10
7;7
12;12
0;0
1;1
6;6
6;6
1;1
2;2
2;2
1;1
4;4
5;5
1;1
0;0
1;1
6;6
2;2
0;0
1;1
1;1
5;5
1;1
1;1
1;1
2;2
2;1
1;1
1;1
9;8
2;2
3;3
3;3
1;1
2;2
2;2
4;4
2;2
1;1
5;5
4;4
10;10
3;3
1;1
2;2
1;1
2;2
7;6
7;7
1;1
0;0
1;1
10;10
11;11
9;9
5;5
7;6
1;1
1;1
1;1
1;1
1;1
1;1
16;16
12;12
1;1
1;1
1;0
0;0
6;6
0;0
1;1
1;1
0;0
0;0
4;4
1;0
1;1
2;2
1;1
1;1
1;1
7;7
1;1
1;1
0;0
2;2
1;1
1;1
5;5
1;1
8;8
3;3
1;1
1;1
5;5
2;2
1;1
1;1
3;3
1;1
1;1
2;2
1;1
0;0
0;0
0;0
8;8
0;0
5;5
1;1
2;1
3;2
10;9
1;1
10;10
1;1
1;1
12;12
1;1
1;1
1;1
4;4
1;1
4;4
1;1
4;4
1;1
1;0
1;1
4;3
1;1
1;1
0;0
0;0
1;1
7;7
1;1
1;1
5;5
1;1
1;1
3;3
1;1
10;10
0;0
1;1
1;1
17;12
1;1
2;2
1;1
0;0
2;2
5;5
3;3
3;3
2;2
1;1
2;2
1;0
1;1
2;2
3;3
1;0
1;1
1;1
10;10
2;2
1;0
1;1
1;1
1;1
5;2
0;0
1;1
0;0
1;1
1;1
1;0
2;2
2;2
1;1
2;2
1;1
4;4
1;1
1;1
7;6
0;0
2;2
0;0
6;6
1;1
3;3
9;9
5;5
0;0
2;2
3;3
1;1
5;5
1;1
1;1
4;4
5;5
1;1
1;1
1;1
1;1
1;1
0;0
1;1
4;4
4;4
6;6
0;0
4;4
1;1
0;0
1;1
1;1
1;1
0;0
2;1
1;1
1;1
1;1
1;1
2;2
0;0
1;1
1;1
3;3
1;1
1;1
0;0
1;1
2;2
3;3
3;3
3;3
1;1
7;7
2;1
2;2
4;3
1;1
2;2
1;1
1;1
0;0
1;1
1;1
1;1
0;0
0;0
2;2
1;1
1;1
1;1
2;2
1;1
2;2
1;1
1;1
1;1
2;2
4;4
1;1
1;1
1;1
1;1
3;2
9;9
1;1
11;11
5;5
2;1
5;5
7;7
2;2
2;2
0;0
0;0
1;1
7;7
1;1
4;4
1;1
6;6
2;2
7;7
0;0
2;1
0;0
0;0
1;1
1;1
8;8
1;1
2;2
5;5
0;0
2;2
1;1
1;1
3;1
1;1
1;1
1;1
1;1
2;2
11;11
1;1
0;0
1;1
4;4
2;1
5;5
2;2
2;2
1;1
1;1
0;0
2;2
1;1
0;0
7;7
1;0
1;1
1;1
1;1
0;0
0;0
4;4
1;1
0;0
2;2
0;0
1;0
1;1
1;1
4;4
2;2
1;0
1;1
2;1
1;1
3;3
1;1
3;3
1;1
1;1
1;1
2;1
1;1
9;9
6;6
2;2
1;1
1;1
2;2
1;1
1;1
1;1
4;4
0;0
2;2
0;0
3;3
1;1
7;6
1;1
2;2
5;5
4;4
2;2
1;1
1;1
1;1
0;0
10;10
3;3
11;11
1;1
8;8
2;2
2;2
1;1
2;2
10;10
1;1
1;1
2;2
1;1
0;0
1;1
1;1
5;5
0;0
2;2
2;2
1;1
11;11
1;1
3;3
12;12
1;1
4;4
1;0
2;2
1;1
0;0
2;2
2;2
8;8
1;1
1;1
2;2
1;1
2;2
4;4
10;9
2;2
1;1
1;1
3;3
1;0
1;1
9;9
1;1
5;5
1;1
3;3
2;2
2;2
1;1
1;1
1;1
9;9
3;3
2;2
1;1
1;1
1;1
7;6
0;0
3;3
1;1
1;1
1;1
1;1
1;0
1;1
3;3
6;6
1;1
5;5
1;1
3;3
1;1
0;0
2;2
2;2
0;0
1;0
3;3
1;1
3;3
1;1
1;0
1;1
4;4
4;4
1;1
8;8
8;8
2;2
9;9
5;4
1;1
1;0
1;1
6;6
0;0
1;1
1;1
2;1
0;0
1;1
6;6
1;1
1;1
1;1
1;1
7;6
0;0
1;0
5;5
3;3
16;16
4;3
5;5
1;1
5;5
21;21
10;9
1;1
1;1
1;1
15;15
1;1
3;3
2;2
2;2
7;7
15;15
5;4
1;1
1;1
1;1
5;5
3;3
1;1
4;4
4;4
5;5
1;1
10;10
6;6
1;1
1;1
2;2
6;6
1;1
1;1
1;1
1;1
4;4
1;1
1;1
1;1
1;1
0;0
9;9
2;2
5;5
5;5
1;0
1;1
2;1
1;1
1;1
12;12
1;1
2;2
1;1
1;1
3;3
1;1
8;8
1;1
0;0
1;1
10;10
0;0
1;1
7;7
2;1
2;2
2;2
12;12
1;1
4;3
1;1
2;2
1;1
0;0
1;1
2;2
1;0
1;1
3;3
5;5
1;1
2;2
7;7
1;1
1;1
1;1
1;1
4;4
13;12
1;1
1;1
3;3
1;1
9;9
1;1
0;0
3;3
4;4
9;9
0;0
4;4
2;1
1;1
9;9
8;8
0;0
0;0
1;1
2;2
6;5
1;1
2;1
6;5
1;1
2;1
7;7
1;0
1;1
1;1
1;1
4;4
7;6
3;1
0;0
1;1
6;5
1;1
1;1
1;1
8;8
2;2
2;2
2;1
3;3
0;0
2;2
7;7
1;1
10;10
12;12
1;1
1;1
4;4
1;1
1;1
3;2
1;0
0;0
2;2
1;1
9;9
1;1
1;1
1;1
1;1
10;10
1;1
0;0
0;0
3;3
0;0
2;2
1;1
2;2
0;0
12;12
1;1
0;0
3;3
4;4
1;1
5;5
1;0
3;3
1;0
1;0
1;1
1;1
5;5
1;1
2;2
0;0
3;2
0;0
8;8
2;2
1;1
1;1
1;1
0;0
2;2
0;0
0;0
1;1
1;1
0;0
1;1
1;1
2;2
1;0
2;2
1;1
1;1
13;13
2;2
3;3
1;0
0;0
1;1
3;3
1;1
2;1
0;0
13;12
1;1
4;4
2;2
0;0
3;3
5;5
1;1
4;4
8;8
13;13
1;1
0;0
2;2
3;2
4;4
10;10
0;0
3;3
5;5
5;5
1;1
1;1
1;0
2;1
1;1
1;1
1;1
5;5
0;0
0;0
1;1
1;1
6;6
1;0
2;2
0;0
0;0
1;1
12;11
5;5
5;5
14;13
2;2
0;0
0;0
1;1
3;3
0;0
0;0
1;1
5;5
1;0
2;1
0;0
0;0
1;1
1;1
2;2
1;1
1;1
1;1
1;1
2;2
1;1
1;1
1;1
3;3
5;5
0;0
0;0
1;1
4;4
1;1
1;1
2;2
1;1
1;1
2;2
0;0
2;2
1;1
2;2
5;5
7;7
19;19
2;2
3;3
0;0
1;1
1;1
2;1
1;1
1;1
4;4
2;2
0;0
7;6
0;0
4;4
0;0
5;5
14;14
3;3
0;0
8;7
1;1
0;0
1;0
0;0
1;1
2;2
1;1
8;8
0;0
7;7
4;4
8;8
18;18
24;24
6;6
1;1
5;5
1;1
1;1
3;3
0;0
1;1
4;4
4;4
2;1
1;1
5;5
1;1
5;5
0;0
0;0
0;0
2;2
1;1
0;0
1;1
1;1
1;1
3;1
1;1
0;0
1;1
1;1
3;2
2;2
2;2
1;1
2;2
2;2
4;4
1;1
5;5
0;0
3;3
5;5
0;0
0;0
2;2
2;2
1;1
1;1
1;1
6;6
1;1
0;0
2;2
6;6
1;1
2;2
4;4
3;3
2;2
0;0
1;1
0;0
5;5
4;4
3;3
1;0
3;3
10;9
4;4
4;4
4;4
1;1
1;1
1;1
2;2
9;9
5;5
1;1
1;1
2;2
8;8
16;16
0;0
10;10
1;1
1;0
1;1
3;2
1;1
2;2
1;1
1;1
1;1
3;3
12;12
1;1
2;2
0;0
6;5
1;1
1;1
3;3
7;6
13;13
4;4
2;1
0;0
7;7
12;12
0;0
2;1
3;3
2;2
6;6
2;2
1;1
1;0
1;1
1;1
1;1
1;1
5;5
7;7
7;7
0;0
3;3
17;17
4;4
0;0
0;0
1;1
1;1
1;1
5;5
2;2
5;5
0;0
1;1
2;2
5;5
5;5
9;9
0;0
1;0
1;1
9;9
4;4
4;4
1;0
1;1
2;2
3;3
5;5
2;1
4;4
1;1
1;0
3;3
6;6
2;2
1;1
1;1
1;1
1;1
2;2
2;2
1;1
5;5
0;0
4;4
0;0
16;16
3;3
1;1
5;5
1;1
0;0
14;14
0;0
0;0
0;0
9;9
1;1
1;1
1;1
1;0
11;11
1;1
2;2
2;2
3;3
4;4
1;1
6;6
2;2
1;1
1;1
2;2
2;2
0;0
21;21
7;7
0;0
6;6
8;7
2;2
7;7
2;1
4;4
10;10
19;19
9;9
1;1
2;2
3;3
1;1
2;2
1;1
0;0
1;1
2;2
1;0
1;1
1;1
4;4
0;0
0;0
3;2
0;0
1;1
1;1
1;1
0;0
1;1
7;7
2;2
2;2
1;1
1;1
0;0
2;2
2;1
1;1
1;1
5;5
1;1
1;1
6;6
4;4
1;1
2;2
1;0
1;1
0;0
1;1
1;1
1;1
14;14
1;1
3;3
2;2
1;1
1;1
1;1
1;1
1;1
3;2
1;1
6;6
2;2
5;5
7;7
1;1
2;2
5;5
7;7
2;2
1;1
1;1
4;4
12;12
5;5
7;7
8;8
1;0
2;2
4;4
0;0
0;0
2;2
2;2
9;8
9;9
1;1
1;1
7;7
7;7
2;2
1;0
1;0
1;1
1;1
1;0
3;3
0;0
1;1
1;1
7;7
7;7
1;0
1;1
1;1
10;10
5;5
5;5
1;1
1;1
7;7
6;6
1;1
0;0
5;5
1;1
2;2
5;5
4;4
2;2
1;1
3;3
1;1
1;1
1;1
1;1
1;1
1;1
2;2
2;2
1;1
1;1
7;7
1;1
1;1
1;1
1;1
1;1
4;4
1;1
0;0
1;1
0;0
1;1
9;9
7;6
0;0
1;1
1;1
3;3
1;1
1;1
3;3
2;2
2;2
4;4
1;1
2;2
1;1
6;6
3;3
2;2
0;0
0;0
14;14
6;6
5;5
5;5
5;5
2;2
4;4
4;4
8;8
13;13
10;10
1;1
1;1
0;0
1;1
1;1
0;0
1;1
0;0
0;0
1;1
1;1
1;1
1;0
4;4
0;0
3;3
5;5
9;9
6;0
2;2
1;0
1;1
1;1
0;0
7;7
2;1
1;1
1;1
12;12
12;12
2;2
2;2
4;4
3;3
1;1
2;1
12;12
1;1
1;1
6;6
0;0
1;1
1;1
4;4
3;2
5;4
0;0
0;0
1;1
5;5
5;5
4;4
1;1
1;1
1;1
1;1
1;1
1;1
2;2
5;5
5;5
0;0
0;0
1;1
3;3
7;7
11;11
1;1
0;0
1;1
1;1
0;0
1;1
1;1
1;1
2;2
0;0
2;2
4;4
1;1
13;13
1;1
4;4
1;1
1;1
3;3
6;1
1;1
1;1
1;1
0;0
1;1
1;1
8;8
16;16
3;3
6;6
2;1
6;6
1;1
1;1
1;1
2;2
1;1
0;0
2;1
0;0
6;6
1;1
4;4
5;5
1;1
2;1
2;2
1;1
1;1
0;0
1;1
0;0
0;0
0;0
5;5
6;6
6;5
0;0
0;0
2;1
1;1
1;1
5;4
1;1
2;2
4;4
2;2
7;7
3;3
7;7
1;1
1;1
1;1
0;0
5;5
3;2
4;4
1;1
1;1
6;6
1;1
0;0
1;1
1;1
4;3
1;1
2;2
1;1
10;10
12;12
0;0
3;3
2;2
1;1
0;0
2;2
6;6
1;1
2;2
3;3
0;0
0;0
1;0
1;1
0;0
2;2
1;1
5;5
2;2
1;1
1;1
4;4
3;3
1;1
2;2
5;5
3;2
2;2
1;1
1;1
1;1
1;1
2;2
1;1
3;3
0;0
5;5
5;5
1;1
1;1
5;4
2;1
1;1
2;2
2;2
5;5
2;2
0;0
1;1
2;2
1;0
2;2
2;2
1;1
4;4
6;6
6;6
1;1
3;2
2;2
3;3
0;0
6;6
0;0
1;1
8;8
2;1
11;11
1;1
1;1
1;1
1;1
1;1
17;8
10;10
20;20
1;0
1;1
6;6
4;4
5;5
1;0
2;2
6;6
3;3
9;9
1;1
5;5
3;3
1;1
0;0
1;1
2;2
2;1
1;1
2;2
4;4
1;1
1;1
1;1
1;1
1;1
2;2
1;1
1;1
1;1
1;0
1;1
7;7
6;6
1;1
0;0
1;0
2;2
1;1
3;3
1;1
16;16
1;1
1;1
0;0
1;1
2;2
1;0
1;1
7;7
1;1
1;1
1;1
5;5
4;3
1;1
1;1
1;1
1;1
6;6
1;1
2;2
8;8
0;0
8;8
7;7
1;1
1;1
3;3
2;2
1;1
0;0
5;4
1;1
1;1
4;4
2;2
7;7
1;1
10;10
7;7
0;0
1;1
1;1
1;1
4;4
1;1
1;1
6;6
3;3
6;5
1;1
1;1
0;0
2;2
2;2
3;3
1;1
0;0
7;7
1;1
13;13
1;1
0;0
2;2
10;10
1;1
11;11
1;1
0;0
1;0
7;7
2;2
1;1
4;4
1;1
0;0
0;0
1;1
1;1
4;4
1;1
1;1
2;2
2;2
4;4
3;3
4;4
0;0
6;6
2;2
1;0
2;2
1;1
2;2
1;1
1;1
0;0
1;1
2;2
6;5
2;2
2;2
1;1
0;0
1;1
1;1
1;1
0;0
2;1
2;2
1;1
2;1
1;1
2;2
1;1
6;6
3;3
4;4
8;8
2;1
0;0
1;1
3;3
1;1
4;4
1;1
1;1
0;0
7;7
0;0
3;3
1;0
0;0
2;2
0;0
4;4
1;1
7;7
1;1
1;1
1;1
1;1
1;1
1;1
0;0
6;6
3;3
9;9
8;8
1;1
0;0
5;5
1;1
1;1
1;1
4;4
9;9
1;1
3;3
1;1
14;14
7;7
2;2
1;1
2;1
4;4
7;7
8;8
0;0
1;1
9;8
3;3
3;2
9;9
5;5
1;1
1;1
1;1
2;2
18;18
1;1
1;1
0;0
1;1
0;0
5;5
0;0
4;3
8;8
1;1
1;1
1;1
4;4
0;0
0;0
1;1
3;3
4;1
1;1
